               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.017594,             0.01343,           0.0031925,             0.86942,             0.86075,             0.89473,             0.58941,            0.020416,            0.006897,            0.001883,            0.001288,            0.001288,            0.001288
                 134,            0.017617,            0.014245,           0.0037973,             0.88119,             0.86792,             0.89552,              0.5907,             0.02069,           0.0068751,           0.0018453,            0.001222,            0.001222,            0.001222
                 135,            0.017287,            0.013458,           0.0032579,             0.88226,             0.85092,             0.89614,             0.58585,            0.020224,           0.0068255,           0.0017109,            0.001156,            0.001156,            0.001156
                 136,            0.017217,            0.013577,           0.0028465,             0.84372,             0.86161,             0.88993,             0.58646,            0.020159,           0.0067309,           0.0018655,             0.00109,             0.00109,             0.00109
                 137,            0.018518,            0.013979,            0.002795,             0.86199,             0.85266,             0.89603,             0.57459,            0.020398,            0.006862,           0.0019458,            0.001024,            0.001024,            0.001024
                 138,            0.018587,             0.01373,           0.0035227,             0.86133,             0.85156,             0.89825,             0.58599,            0.020471,           0.0068109,           0.0018463,            0.000958,            0.000958,            0.000958
                 139,            0.017212,            0.013418,           0.0038268,             0.87479,             0.84724,             0.89675,              0.5798,            0.020367,           0.0068319,           0.0018542,            0.000892,            0.000892,            0.000892
                 140,            0.016916,            0.013957,           0.0037249,             0.86221,             0.84635,             0.89752,              0.5753,            0.020453,           0.0068289,           0.0017027,            0.000826,            0.000826,            0.000826
                 141,            0.016842,            0.013814,           0.0036674,             0.85565,             0.84667,             0.89852,              0.5691,            0.020391,           0.0068067,           0.0016796,             0.00076,             0.00076,             0.00076
                 142,            0.016842,             0.01358,           0.0035008,             0.88631,              0.8562,             0.90064,             0.58284,             0.02024,           0.0067132,           0.0015099,            0.000694,            0.000694,            0.000694
                 143,            0.017478,            0.013186,           0.0030467,             0.90714,             0.83643,             0.90795,             0.59555,            0.020046,           0.0067613,           0.0012919,            0.000628,            0.000628,            0.000628
                 144,            0.017298,            0.014111,           0.0033878,             0.89735,             0.85165,             0.90784,             0.59023,            0.019967,           0.0068213,           0.0012861,            0.000562,            0.000562,            0.000562
                 145,            0.016619,            0.013764,           0.0035925,             0.90002,             0.82129,             0.90236,             0.59279,            0.019887,           0.0068726,           0.0013939,            0.000496,            0.000496,            0.000496
                 146,            0.017136,            0.013078,            0.003214,             0.92602,             0.82965,             0.90605,             0.59845,            0.019575,           0.0068735,           0.0014296,             0.00043,             0.00043,             0.00043
                 147,            0.016171,            0.013529,           0.0035366,             0.91501,             0.82461,             0.90438,             0.60389,            0.019547,           0.0068351,           0.0015229,            0.000364,            0.000364,            0.000364
                 148,            0.017086,            0.013134,             0.00278,             0.91437,             0.83427,             0.90347,             0.59559,            0.019554,           0.0068681,           0.0014433,            0.000298,            0.000298,            0.000298
                 149,            0.015412,            0.013412,           0.0026662,             0.90758,             0.84353,             0.90484,             0.59589,            0.019836,           0.0068226,           0.0014146,            0.000232,            0.000232,            0.000232
